,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,Mkt-RF,SMB,HML,RF
199211,10.6723,10.7815,8.1716,8.3468,7.931,9.2875,8.1363,6.5397,4.6756,7.2412,9.6034,6.3733,6.2158,5.0442,4.4722,7.0382,4.9445,4.0173,2.9459,3.6701,3.693,4.9111,1.0371,2.9289,8.3435,4.13,3.79,-1.42,0.23
199212,1.5855,3.1744,5.0702,4.4204,4.9833,1.5569,2.3806,3.4223,6.3827,5.1768,3.4024,5.4744,2.8795,3.7549,5.0455,1.1647,2.6279,3.7152,4.1848,4.3842,-0.6968,3.5724,0.9703,2.9948,3.0047,1.53,1.67,2.65,0.28
199301,2.4608,5.4725,4.2858,4.7368,8.0928,-0.7188,3.259,4.1829,4.5138,8.0583,-2.3117,4.0737,4.1066,3.5268,3.6915,1.1841,1.6302,3.1193,2.6851,4.7848,-2.4021,1.0431,0.9805,3.3586,8.9859,0.93,1.85,5.95,0.23
199302,-7.6807,-5.0112,-2.0994,0.0157,0.7118,-7.9791,-4.6344,-0.6209,2.5776,1.4501,-8.1085,0.2537,1.2319,0.765,3.1,-5.0394,1.917,1.8019,3.1136,2.072,-3.0192,2.2521,5.0714,4.6731,2.1205,0.12,-3.49,6.44,0.22
199303,0.9454,1.9484,3.1577,2.5871,4.7247,0.6202,2.6093,4.0478,2.5925,4.1074,4.9803,3.1312,3.1793,3.3864,5.4681,2.4929,4.8358,4.261,3.4168,1.8486,0.7247,3.5889,2.7539,1.391,3.5016,2.3,0.23,1.19,0.25
199304,-4.0885,-4.2183,-3.2282,-2.2121,-1.276,-2.9417,-3.2206,-2.2501,-2.3094,-4.3051,-4.7601,-2.5137,-2.37,-1.6832,-1.931,-5.0462,-2.426,-1.9974,-1.4933,-1.7563,-5.9741,-2.2126,-0.2654,-1.4905,0.8404,-3.05,-0.68,2.48,0.24
199305,5.8551,4.2902,3.8077,2.8511,4.6522,6.9739,4.6149,3.0923,2.0234,4.1971,7.8494,6.0107,3.9189,2.3116,2.1803,6.8674,3.9655,2.3077,0.9787,2.692,3.1333,4.561,1.5999,1.2446,-0.3743,2.89,2.08,-3.5,0.22
199306,-1.3999,-0.1733,0.5544,-0.6075,1.7901,-0.594,0.5507,0.4312,0.6832,2.6452,-1.1362,0.8427,1.1098,2.7124,1.2374,0.7882,0.6372,1.8614,1.2207,3.8467,-2.4587,1.2026,1.0329,2.7396,4.7091,0.31,-0.26,2.72,0.25
199307,-1.375,-0.444,1.0272,1.8828,3.1575,0.4746,-0.1678,1.7696,1.954,2.6057,-0.96,-0.0814,1.0924,2.5802,-0.4802,-3.331,1.7203,1.1021,2.5615,1.3985,-3.12,-0.1918,2.1173,1.5473,-0.2615,-0.34,0.9,2.82,0.24
199308,3.721,5.5643,3.5611,4.0467,2.8846,3.4304,6.0332,4.8747,5.1526,3.5113,4.0157,4.9183,3.892,3.1,2.3349,5.8339,4.2405,4.3318,3.7993,4.9704,3.5243,2.5949,3.9348,4.1349,4.0695,3.71,0.14,0.14,0.25
