,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,Mkt-RF,SMB,HML,RF
199711,-3.3651,-3.2481,-2.3652,-0.2276,-0.2469,-3.3774,-3.0406,-0.4197,-0.2603,0.046,-3.4619,-1.8474,1.0243,2.6433,1.9554,0.9038,0.4594,4.0348,3.398,3.1705,5.6771,4.3916,2.5099,4.8993,3.5612,2.98,-5.13,1.19,0.39
199712,-6.011,-2.9747,-2.0133,0.7852,1.2546,-1.3901,-1.6374,1.2397,4.0378,2.2214,1.2938,0.3532,2.4058,4.7192,3.1532,-1.6517,2.302,3.1036,6.0048,1.4195,1.169,1.7186,3.1983,4.6616,3.0823,1.32,-2.47,3.86,0.48
199801,0.2171,-0.8586,-1.4217,-0.6076,-0.7482,0.3598,-1.9223,-1.7483,-1.8645,-1.8318,-0.7641,-1.1677,-1.8631,-4.7817,1.8003,-1.3259,-0.6878,-2.1548,-1.9876,1.1988,3.8055,-0.478,-3.2074,0.0274,0.6571,0.15,-1.06,-1.59,0.43
199802,6.3151,6.9561,5.7734,5.2402,6.6165,8.7605,8.7653,9.2588,6.5189,7.7115,9.36,9.8985,6.6967,8.1851,8.9044,9.6343,7.5794,6.9787,6.001,6.292,6.7914,7.0699,9.6393,7.3706,6.9989,7.04,0.34,-0.85,0.39
199803,4.5122,6.1772,5.0386,4.7316,5.2364,4.2365,6.3036,2.8174,4.1784,4.5832,4.7346,2.9514,5.4054,3.3925,6.5051,3.4345,5.1267,4.9987,4.4287,7.3994,5.2432,3.7807,5.4188,8.5117,7.0592,4.76,-1.11,1.41,0.39
199804,2.5679,2.6101,3.6947,2.1262,2.6749,0.05,1.2533,0.6616,2.1741,1.9022,1.0385,0.3339,0.1794,0.1763,0.8826,0.2309,-0.1436,0.3958,0.6781,0.4554,0.9964,2.223,1.2243,2.5624,-1.4327,0.73,0.02,0.9,0.43
199805,-6.7477,-6.3945,-4.1317,-3.3023,-2.2821,-8.9191,-6.2476,-4.8108,-3.362,-2.7218,-7.6803,-6.2092,-5.1504,-4.554,-2.2896,-5.2964,-2.6246,-3.3436,-2.7328,-3.66,-2.3441,-1.4916,-1.7118,0.7566,-0.9298,-3.07,-3.35,3.4,0.4
199806,-0.3553,1.0448,-2.3602,-0.3645,-1.3364,2.1268,-2.3178,0.2769,-1.1976,0.2691,4.0946,-2.0336,-0.5324,-0.3406,0.3169,1.493,-1.0107,0.1763,1.3687,0.9164,7.0012,1.7708,2.2715,5.2983,0.9477,3.18,-3.23,-1.96,0.41
199807,-7.7024,-7.1424,-6.129,-6.5132,-5.5057,-7.7969,-7.7425,-8.0072,-9.0423,-7.0995,-7.6036,-7.721,-7.8406,-8.0938,-8.8071,-6.3721,-4.5596,-5.8177,-5.729,-4.1178,0.4254,-2.4758,-1.3649,-2.7569,-2.337,-2.46,-4.91,-1.76,0.4
199808,-28.0647,-21.5628,-20.5061,-19.2939,-18.6173,-25.7344,-20.4512,-17.426,-16.2507,-18.8999,-23.1125,-21.2819,-17.4898,-16.0769,-18.4948,-19.9593,-18.8449,-17.8561,-11.4512,-13.5671,-12.9014,-16.9492,-17.4104,-15.4157,-12.5155,-16.08,-5.68,3.6,0.43
199809,6.9171,3.6512,3.5923,3.5754,1.4878,12.3574,8.1904,5.1022,4.5595,5.8395,11.6681,5.3034,8.0791,4.7613,2.674,5.4302,7.2943,6.4728,6.2235,6.1134,8.5267,3.4603,2.5738,3.7531,9.9202,6.15,0.1,-3.37,0.46
199810,3.4395,3.5577,1.3115,2.8723,1.1254,5.2246,5.4805,3.6597,3.1252,2.0454,3.8303,6.5564,5.2638,3.7192,4.0397,8.8699,9.2604,6.4177,4.178,3.4124,7.7452,8.6319,9.1331,8.5128,3.2214,7.13,-3.12,-2.29,0.32
199811,10.3815,8.9623,5.7117,6.5286,8.8107,9.2974,7.3436,4.2402,3.6135,6.3588,9.1068,6.6331,2.8093,2.8706,3.0874,7.9198,2.452,4.4079,2.6832,4.3547,7.3881,6.2496,5.6951,4.9763,4.9313,6.1,1.2,-3.23,0.31
199812,4.9841,1.5551,3.5721,1.4945,1.355,7.3302,5.1502,2.8483,4.3369,5.1366,11.4928,7.5174,4.1985,4.491,3.2493,10.3302,5.4963,3.7079,3.575,2.3555,8.9455,2.3076,2.7364,3.1072,5.0308,6.16,-0.51,-4.18,0.38
199901,7.7248,6.3565,4.4456,4.1434,4.1904,6.2613,1.124,-1.8669,-2.7983,0.9957,4.9839,0.4515,-1.6783,-2.2451,-1.3263,1.7228,-3.4395,-1.4837,-3.5359,-2.2996,5.9954,1.4096,1.9531,1.8345,-0.2376,3.5,0.78,-4.62,0.35
199902,-7.5644,-8.788,-6.1022,-5.2875,-5.8106,-9.181,-9.3109,-7.4087,-8.1119,-10.6177,-9.0193,-8.7642,-6.4228,-5.8698,-6.5517,-4.8342,-4.6237,-3.5514,-4.7168,-1.6091,-4.6568,-0.7938,0.21,-0.9944,-1.2177,-4.08,-6.06,1.88,0.35
199903,-2.3358,-6.5337,-1.1196,-4.099,-3.0261,0.4812,0.7832,-0.0273,0.0347,-3.6729,5.2936,2.186,2.1437,-0.39,-0.1376,3.1713,3.8274,1.8555,0.7325,-0.4156,4.4262,3.0608,4.5129,3.3943,2.0625,3.45,-3.77,-2.77,0.43
199904,7.5584,9.4601,11.0828,11.9905,8.7538,10.7669,10.6356,7.2001,8.2911,7.3661,7.4598,12.8781,8.8952,11.0646,8.7451,6.2253,11.6042,7.6292,12.4039,8.8967,0.752,8.6999,7.5579,5.6427,2.2409,4.33,3.95,2.41,0.37
199905,1.8442,3.3882,2.0311,2.1502,4.1747,1.333,0.5212,2.9575,4.5425,3.7926,-0.7847,0.007,0.5241,2.0671,2.4018,2.6607,-0.6405,1.8666,1.9187,1.0197,-3.2029,-1.5209,-1.9072,-0.8092,2.9241,-2.46,3.37,2.3,0.34
199906,6.9593,9.1446,8.9083,5.5693,6.1495,8.3053,6.7538,6.818,4.4674,6.941,4.9373,4.7081,2.8681,1.3507,7.1522,7.5545,7.8182,2.7171,4.0027,3.9319,7.0233,2.999,2.7787,0.0426,0.0356,4.77,3.14,-3.26,0.4
199907,1.1165,2.2017,1.4837,1.386,1.6584,-1.6725,-1.0957,-1.8192,-1.3347,-3.8544,-2.6872,-2.1139,-2.123,-1.6166,-2.0359,-2.8067,-1.9751,-0.9942,-1.7793,-0.9091,-2.9542,-3.9701,-5.1186,-2.6054,-9.0908,-3.49,2.6,-0.42,0.38
199908,-3.5048,-1.6683,-1.8427,-1.7404,-3.6119,-3.2314,-4.0308,-4.885,-2.7472,-4.4358,-1.8114,-6.1422,-4.3203,-3.3667,-0.6156,-1.3279,-4.8256,-2.3807,-2.6995,-7.1956,0.5526,-2.1998,-3.4124,-4.2819,-0.9195,-1.38,-0.94,-1.84,0.39
199909,1.7825,-0.0957,-1.014,-2.1396,-3.9713,-0.1157,1.3265,-0.9465,-2.001,-1.8091,3.0572,1.2234,-2.4739,-3.3219,-1.1984,1.4542,-3.6612,-3.0757,-4.521,-1.7612,-1.9177,-3.5377,-6.4731,-9.5738,-8.7093,-2.79,3.44,-3.48,0.39
199910,-0.1109,-0.4896,-0.6698,-0.7613,-2.6142,2.739,-0.1954,-1.5342,-0.6882,-5.2993,2.6778,1.0686,-0.98,-1.5068,0.5188,7.9098,0.9965,2.2824,4.3027,4.6733,6.3006,10.4018,8.1315,4.4311,6.0452,6.12,-6.61,-3.37,0.39
199911,19.5345,13.4414,9.398,7.9425,6.5832,11.9381,9.4908,3.7013,4.1034,3.0431,11.5439,6.9615,-0.6191,-0.1186,0.0014,11.7385,-0.1297,-1.5429,0.4892,3.6208,4.1396,0.0964,-3.2775,-5.9299,-0.4093,3.37,7.22,-6.16,0.36
199912,24.9578,26.7303,8.4015,11.8981,7.3867,17.0595,12.2131,4.6495,4.2202,6.9249,15.62,11.2263,0.022,4.6855,2.9295,21.4953,5.0816,0.56,6.8394,3.0217,7.7551,4.6994,-0.7188,0.3137,-1.0526,7.72,6.99,-8.32,0.44
200001,9.6484,6.5131,4.6921,3.4686,4.8879,0.1573,-2.087,-4.2372,1.5555,-3.299,-3.1594,-5.2156,-2.0539,-4.0273,-5.4824,-4.0443,-3.0601,-3.6892,-4.9487,-9.3015,-4.932,-3.9762,-5.2733,-6.7075,-9.0658,-4.74,5.79,-1.89,0.41
200002,37.0861,44.1835,20.8805,26.2571,14.6954,28.0205,18.9385,3.8072,9.3484,14.1233,22.922,13.324,2.1553,0.1619,-1.7915,25.7955,0.6376,-2.4538,2.3175,-3.5666,0.2223,-5.109,-7.7094,-10.2472,-10.7792,2.45,21.48,-9.81,0.43
200003,-13.5794,-19.5593,-8.2675,-7.6252,-2.5549,-12.9799,-6.3082,1.8464,-1.3669,-2.4669,-13.0386,-1.1415,10.2817,6.3522,13.7184,-3.0186,12.5138,14.5769,9.9505,12.6174,9.176,11.484,10.0148,15.8776,21.4935,5.2,-17.29,8.23,0.47
200004,-23.004,-18.4748,-10.3021,-11.4081,-9.9242,-11.9648,-8.74,-4.9501,-2.578,-2.6184,-9.9702,-0.778,-1.9256,3.1522,0.2209,-7.0528,-3.9284,2.724,1.3334,1.539,-4.2488,-2.449,0.2334,2.9508,-0.6757,-6.4,-6.63,7.25,0.46
200005,-14.2539,-9.3273,-6.0292,-7.3586,-6.8157,-10.1693,-5.1221,-4.5934,-7.308,-1.0384,-5.5859,-2.7695,-1.4701,-1.2016,2.4239,-7.4982,-0.1843,-0.0985,-2.0232,0.9566,-3.4959,-1.5959,4.7342,1.5819,6.4563,-4.42,-6.11,4.83,0.5
200006,28.35,29.8894,18.2436,18.7637,10.0437,14.4977,11.0708,2.6236,5.1148,9.5985,14.7368,2.3559,-0.125,-0.0507,2.0032,10.9668,3.0572,-3.8763,-3.1802,-4.5368,5.5302,-3.9863,-6.3163,-8.1738,-3.0924,4.64,12.8,-8.41,0.4
200007,-8.6273,-1.2724,0.6975,1.3439,1.3109,-7.4858,-1.4892,1.7302,1.4205,0.3806,-10.0655,-0.8577,3.9463,2.4201,7.4,-7.2889,-1.0909,3.5013,2.3817,1.8432,-2.99,0.7267,5.2563,7.1569,2.3107,-2.51,-3.08,8.33,0.48
200008,9.1683,8.5527,3.7003,5.4394,5.3999,8.0706,4.4639,3.7031,6.6591,6.8729,8.2883,10.1863,6.1562,6.6336,7.5728,13.9813,5.8584,6.3273,7.027,6.7473,7.4208,6.2435,11.3112,5.616,5.6996,7.03,-0.63,-1.37,0.5
200009,-10.8079,-1.1323,-2.7624,-0.4641,-0.7028,-4.0548,-3.752,0.1796,-1.8805,-1.9728,-10.4085,-3.1213,-0.6199,2.6696,1.6431,-9.7703,-0.6981,-0.1958,2.1778,-0.6868,-6.123,-2.1276,2.4693,9.1817,-1.6371,-5.45,-1.73,7.17,0.51
200010,-12.1033,-10.5232,-3.3482,-4.9812,-4.5759,-9.323,-0.0989,-0.8503,-0.337,-1.7471,-10.6481,-1.6053,0.0504,-1.0189,2.2896,-5.6535,2.2944,1.9126,-1.9269,4.0095,-2.0695,2.1832,-5.0186,2.68,3.3731,-2.76,-3.93,5.64,0.56
200011,-20.8465,-12.8297,-6.2245,-4.8009,-4.6351,-18.2404,-6.2696,-3.0838,-4.8137,-3.2567,-19.4394,-6.8752,-5.5339,-0.4017,1.6007,-19.1415,-1.6456,0.8254,1.1828,0.9671,-10.5175,-6.1622,-6.8946,1.1829,0.548,-10.72,-3.39,12.34,0.51
200012,-10.042,1.4672,0.8247,3.2923,2.9074,0.1856,6.8461,12.1944,9.9256,12.6129,2.2311,13.5472,11.3053,13.4847,10.1714,4.2311,8.4275,11.6816,13.2727,11.8341,-1.3614,8.7256,6.1501,7.9388,0.4421,1.19,0.73,7.6,0.5
200101,27.6021,17.6993,12.7329,12.1418,13.0991,14.1377,7.5632,4.5956,6.3499,6.1423,12.8485,3.1451,-0.063,-1.3343,3.4887,7.3251,1.899,-1.028,-3.3677,6.8065,3.2356,2.9995,7.1449,-5.4891,1.5723,3.13,6.68,-5.11,0.54
200102,-13.2547,-10.025,-2.4614,0.4969,-0.2912,-13.9675,-2.0846,-0.436,-3.2409,1.9107,-16.9523,-4.045,-0.9092,1.6808,-0.9905,-15.5931,-2.235,-0.3922,0.0364,1.8211,-11.9523,-2.5395,-2.0424,3.8869,4.2933,-10.05,-0.74,12.48,0.38
200103,-12.7669,-1.3392,-1.3573,0.1932,-1.9637,-5.4028,-0.5191,-1.7891,-2.0733,-1.4414,-12.0565,-5.0252,-2.7808,-3.1878,-0.6256,-11.93,-3.0302,-1.8079,-1.1946,0.2876,-8.5353,-1.9489,-0.3145,-2.7473,-2.6452,-7.26,0.27,6.43,0.42
200104,9.5718,7.1812,2.7723,4.3772,5.2197,11.1464,5.1195,7.3477,4.0008,5.1447,11.2427,9.2364,6.0964,5.5449,4.5248,16.5099,6.6916,6.1217,8.2002,7.7981,9.0913,5.196,3.3722,2.0131,7.4412,7.94,0.56,-4.69,0.39
200105,12.8203,11.5194,9.9327,11.6531,10.1243,1.6285,4.1535,2.2361,4.491,5.5528,4.9788,-0.6108,3.5812,1.5785,1.8424,3.3881,4.3402,3.197,0.3672,4.3666,0.1097,0.5905,3.7612,4.0086,5.6966,0.72,2.5,3.36,0.32
200106,2.3126,2.6468,4.5652,3.0371,0.7429,6.6591,10.143,5.6852,6.6939,5.0214,4.9788,-1.3448,1.4497,0.0548,1.123,3.6089,-1.5601,-0.3042,-3.4696,3.5989,-2.2969,-3.2128,-0.3102,-1.9328,-3.0661,-1.94,6.27,-1.13,0.28
200107,-9.2889,-7.2983,-3.9933,0.236,-0.1031,-10.4235,-7.6718,-5.9478,-3.3623,-4.0701,-9.0207,-4.835,-2.1886,-0.3456,-2.0222,-4.9036,-0.4382,-0.5816,1.8447,-0.2467,-1.5768,-0.0242,-1.5525,-4.4983,7.5709,-2.13,-4.19,5.21,0.3
200108,-8.8548,-5.3382,-3.5958,-1.6126,-0.9761,-10.0625,-3.9112,-3.1279,-1.6622,-1.089,-7.1874,-3.062,-2.6773,-2.2394,0.0221,-7.3466,-3.9353,-3.6257,-1.4705,-8.9144,-7.2172,-4.4808,-2.653,-8.4746,-8.3486,-6.46,2.48,2.3,0.31
200109,-16.7499,-15.2229,-10.0966,-9.9973,-12.8175,-18.7306,-15.6485,-12.8353,-15.2006,-16.0524,-15.4719,-12.7812,-12.0454,-13.5512,-18.5487,-16.0825,-13.4788,-9.9516,-14.1783,-15.154,-7.1622,-11.3933,-6.5791,-11.47,1.6352,-9.25,-6.25,1.46,0.28
200110,8.7922,8.0568,5.9544,5.0836,4.3574,11.5389,8.2809,5.8812,2.9321,4.1562,13.5755,6.1292,3.8766,5.3109,9.2126,8.3577,3.5314,1.2667,3.8362,1.9946,3.2509,0.1623,-2.0874,1.9464,-14.6371,2.46,7.49,-7.66,0.22
200111,6.102,11.0641,5.3014,5.7,6.8328,10.245,8.0441,6.5909,9.553,12.51,9.917,6.4834,6.7321,9.5957,12.8706,10.4135,9.15,6.6549,10.319,8.7861,7.5119,8.7877,4.5189,11.265,11.2876,7.54,-0.47,2.22,0.17
200112,13.1984,6.0963,5.9969,5.7432,7.3035,8.0868,5.7672,6.6689,7.8787,7.1226,5.3908,5.9654,8.0164,5.2993,4.6581,3.901,4.7767,4.81,6.7736,3.7795,-0.0326,2.6679,3.6248,0.4083,1.3074,1.6,4.73,0.85,0.15
200201,-7.8058,-1.4507,2.4647,3.2718,5.0777,-6.3788,-2.6133,-0.3541,1.3466,1.3619,-5.0064,-1.6623,-0.8591,2.4861,5.2051,-4.1941,0.021,1.4052,2.2887,-3.8019,-0.6517,-2.8165,-0.5926,-1.7635,-9.1858,-1.44,1.19,3.44,0.14
200202,-10.4259,-5.7873,-4.2585,-1.3109,-3.2426,-9.6959,-4.5185,-1.1202,0.7395,-0.3059,-7.1972,-0.7453,0.2904,-0.5033,3.8789,-4.1855,0.7806,2.4848,-4.0031,3.4047,-2.4738,0.4275,0.377,-3.5343,-12.7631,-2.29,-1,2.16,0.13
200203,5.8687,7.557,8.766,8.2663,9.231,8.7635,9.2623,7.2961,8.206,11.9484,8.5461,6.8404,6.8889,7.4949,9.5648,6.7603,6.5359,6.0889,5.1239,8.0056,3.0082,6.1698,3.4226,9.1328,0.1097,4.24,4.21,1.06,0.13
200204,-10.0673,-0.3963,1.7883,3.8265,5.134,-4.7349,0.4321,3.7269,3.8112,5.0495,-5.0488,0.8906,2.0662,0.8154,1.2892,-3.0262,-0.1501,-0.1649,-1.785,0.734,-7.9082,-3.3674,1.4302,-2.3009,-22.1472,-5.2,5.96,3.88,0.15
200205,-6.8033,-6.087,-3.2858,1.3449,0.2169,-7.9496,-4.2262,-4.743,-3.2755,-6.4213,-5.6874,-2.8168,-3.965,-3.025,-2.5422,-3.0356,-0.4649,-0.89,-1.0937,0.595,-1.3019,0.2541,0.4415,0.9488,-7.7067,-1.38,-3.21,1.53,0.14
200206,-8.6477,-7.6,-0.9723,1.1218,-1.0767,-7.7842,-4.355,-2.7399,-1.8752,-2.8361,-7.6077,-7.6958,-4.7873,-5.5385,-6.9358,-9.6673,-6.55,-7.1943,-5.8653,-8.2499,-7.5272,-4.7594,-6.3206,-10.138,-13.5638,-7.21,4.28,-0.03,0.13
200207,-19.637,-15.3413,-14.9895,-11.5386,-12.3008,-15.8697,-17.0774,-13.7288,-15.2273,-19.4877,-9.2527,-9.2461,-11.926,-12.0327,-17.3659,-9.8656,-8.7661,-8.9508,-13.4411,-18.2454,-5.4976,-10.0688,-7.1734,-10.3003,-14.6754,-8.18,-5.26,-3.87,0.15
200208,-0.2179,-0.6193,-2.607,-0.9927,-1.6955,0.4126,0.2832,-0.3573,1.1534,-0.3796,0.6691,-0.4309,2.5264,1.5859,2.3711,-1.2606,-0.1211,1.3283,-0.1911,6.6542,-0.1863,1.0277,1.7884,5.4239,8.3212,0.5,-2.87,3.31,0.14
200209,-10.9582,-8.2957,-7.9618,-7.182,-6.6851,-8.1417,-6.4928,-5.8953,-7.3878,-9.4315,-7.561,-9.1054,-9.5306,-7.6911,-9.0209,-8.7696,-8.5795,-11.8737,-11.7424,-21.702,-11.0737,-11.3171,-9.0775,-8.3023,-6.1906,-10.35,2.43,1.44,0.14
200210,5.9454,4.5758,2.7911,2.2298,1.046,10.6025,2.711,4.3585,1.5479,-1.4225,7.2678,2.799,5.4153,3.4039,0.9082,6.834,4.7533,3.6437,3.3959,4.761,10.3631,7.2992,4.6586,5.9036,14.1328,7.84,-3.41,-3.95,0.14
200211,18.025,12.7917,10.1394,8.43,9.5873,13.0366,10.8497,7.2976,5.9332,8.6665,9.2674,8.5773,6.6849,5.3116,11.7122,10.0761,7.3626,7.678,8.5967,17.8928,4.9489,6.2872,4.3787,5.6318,7.0492,5.96,3.23,-1.27,0.12
200212,-9.9626,-5.7808,-5.2604,-2.6517,-2.5908,-10.2256,-7.3039,-4.4372,-3.5833,-3.1769,-7.1308,-4.8595,-2.7181,-3.7771,-6.7036,-6.8542,-5.0799,-2.4339,-4.1609,-3.6946,-6.322,-6.2175,-3.3457,-3.5145,-9.7387,-5.76,0.11,2.13,0.11
200301,-0.5497,-0.5154,-2.2564,-0.4902,0.3135,-3.4393,-3.2199,-3.3653,-1.5061,-2.6907,-1.4855,-4.1472,-3.3787,-3.7655,-2.6316,-1.2244,-3.4667,-0.3085,-2.6288,-5.0983,-2.8603,-2.6331,-1.1319,-5.1723,-5.5856,-2.57,1.3,-0.73,0.1
200302,-6.174,-3.265,-2.3442,-1.6084,-2.2039,-2.9326,-1.5906,-2.3635,-2.7853,-5.7188,-4.1745,-0.8707,-2.2623,-3.9608,-2.6721,-2.8758,-1.8691,-1.8555,-2.0199,-5.5564,-1.0956,-2.6775,-2.4003,-3.4442,-4.9207,-1.88,-0.46,-1.38,0.09
200303,2.1833,1.0654,0.5396,2.0207,0.0731,1.927,1.3203,0.6455,1.5015,-0.2233,2.8643,0.9893,-0.2481,-0.5758,3.6273,1.254,-0.4722,0.6071,2.1722,-4.4646,1.7442,0.5252,0.8746,-0.8347,-2.9499,1.09,1.04,-1.93,0.1
200304,12.1043,10.9073,8.3248,7.6312,9.553,10.7483,9.4838,9.1911,9.5653,10.1677,8.4128,8.64,10.7788,11.6917,10.1751,9.1576,7.0338,9.4932,8.6974,9.0993,7.447,9.4527,8.6906,8.9196,14.8181,8.22,0.67,1.17,0.1
200305,20.3109,15.3251,11.1998,10.7902,11.3538,13.4342,9.6223,11.0504,10.1391,11.0946,8.5463,9.2024,9.6865,9.7225,9.2316,9.6186,10.3614,7.8212,10.6726,9.9514,4.2861,6.6074,6.7321,6.6657,7.8462,6.05,4.71,0.53,0.09
200306,6.912,4.261,4.5602,4.2893,5.8716,1.7639,0.5909,1.4231,2.2283,3.6085,2.67,1.514,0.3545,1.4085,1.9512,1.0862,1.0735,0.0245,-1.2787,7.1226,1.1128,2.2063,2.0784,-0.8803,3.6636,1.42,1.74,0.19,0.1
200307,8.6606,8.4107,8.4162,8.9265,7.9774,8.2871,5.0277,5.8174,6.6,8.0301,7.6389,4.629,1.2874,4.4503,4.0909,3.8323,3.7773,2.5867,5.0073,2.042,0.5451,5.3915,1.8963,-0.5981,1.6279,2.35,5.11,-1.19,0.07
200308,4.236,4.9921,3.5935,4.6452,6.4777,4.428,3.3933,5.3639,4.8724,6.2925,4.2698,4.0481,4.8023,7.6149,8.0777,5.0353,3.6334,3.8785,4.8897,9.394,1.6362,1.3841,2.0913,2.2946,1.3196,2.34,2.62,1.54,0.07
200309,3.3784,0.29,-0.1478,2.1983,4.9954,-2.4797,-2.1487,-2.6711,-3.9326,-1.0471,-1.9101,-3.3016,-2.0577,-1.2283,-0.7567,-1.7255,-2.3335,-0.6319,-1.1529,0.3064,-0.8317,-1.0551,-1.0931,-2.1692,-4.5544,-1.24,0.8,0.1,0.08
200310,6.1697,8.7809,7.7485,10.5714,11.5506,8.6541,8.2613,6.8251,10.2971,10.8499,9.1468,6.7657,5.7658,11.0878,12.6533,7.8285,8.2119,8.3603,9.6515,8.2141,3.5646,8.8542,7.9925,6.0801,2.7791,6.08,2.63,1.92,0.07
200311,2.9951,3.159,5.189,3.8129,6.6499,2.4082,3.7851,2.9996,3.6672,4.0644,3.5126,3.2407,2.2787,4.9768,2.5115,1.2456,2.9523,3.9262,3.4432,4.5066,0.795,0.4394,2.0378,0.2782,3.2206,1.35,2,1.81,0.07
200312,0.2884,2.8367,3.3218,1.3878,3.9966,2.1713,1.8458,3.1022,2.4712,2.3485,-0.7861,2.8276,4.6311,2.0558,5.7123,0.9235,3.4119,2.2443,4.9546,3.1032,5.2904,4.6225,3.6904,6.3944,4.7758,4.29,-2.71,1.6,0.08
200401,5.9366,5.4481,5.5922,6.1681,8.8558,3.4902,3.6989,3.1624,3.5697,7.7507,3.288,2.1282,1.3326,4.5702,5.8086,1.8262,1.0507,4.6604,2.7165,5.1805,1.7609,0.0742,3.5923,1.6512,6.8652,2.15,2.54,2.46,0.07
200402,0.2717,-0.0271,0.3485,0.935,0.1114,1.168,2.1791,0.8899,0.0062,-0.1132,-0.0412,2.8474,2.9427,2.0706,1.2872,2.4811,1.735,2.5396,3.8064,0.6966,1.1898,1.1083,2.6623,0.8343,5.4937,1.4,-1.52,0.87,0.06
200403,-1.212,-0.7705,-0.623,0.5531,-0.7434,2.2259,1.1306,0.3398,0.6434,2.016,1.7543,1.5553,-0.1115,0.3768,0.7935,0.3427,-0.4216,0.6912,-0.7283,-0.9543,-2.2195,-1.1274,-1.2013,-0.5594,-1.0896,-1.32,1.75,0.23,0.09
200404,-4.4088,-4.7943,-3.8413,-3.8464,-6.3276,-4.1298,-4.5304,-2.5473,-4.1062,-8.0185,-1.9051,-2.179,-2.6793,-6.2059,-6.4777,-1.7213,-4.0693,-4.677,-2.9496,-3.1859,0.6111,-3.133,-4.7038,-2.3963,-1.7677,-1.83,-1.74,-3.02,0.08
200405,-1.7466,-0.5434,-0.274,-0.6754,0.6726,1.1742,2.1348,1.2569,1.5887,2.7809,1.5225,2.1105,1.8389,1.8406,1.5535,1.2248,2.0344,2.3672,1.8173,4.1203,0.8911,2.0291,1.1356,0.0967,1.2422,1.17,-0.25,-0.23,0.06
200406,0.9516,4.5493,4.4701,3.4567,3.9957,3.4786,5.2141,5.7074,5.5144,7.6978,2.328,4.4155,2.6534,1.2265,3.8044,1.6128,3.1268,1.8976,3.3797,4.2411,1.7811,0.6508,0.4436,2.9121,2.31,1.86,2.28,1.23,0.08
200407,-13.0386,-8.012,-7.1173,-5.6924,-4.3559,-8.4968,-8.5323,-4.9187,-5.4082,-4.6147,-8.9888,-5.6116,-3.6903,-3.4522,-3.8066,-6.5705,-4.8784,-3.7866,-5.8927,-2.6397,-4.9807,-0.6596,-1.3031,-2.8216,-0.893,-4.06,-3.8,3.22,0.1
200408,-1.6386,-0.256,-1.1608,-1.3782,-1.8684,-4.5205,-1.6284,-0.4839,0.8655,1.2377,-2.7564,-0.6583,0.3901,1.0434,-2.199,-0.854,-1.3733,0.2802,0.9576,0.5203,-0.274,1.5461,1.2663,0.9677,-0.1074,0.08,-1.49,1,0.11
200409,4.7089,4.763,4.8344,4.7795,3.8682,8.0374,6.3119,5.6209,3.9765,3.5301,4.1341,4.1815,3.6333,2.8916,4.8858,2.9686,3.1656,5.0466,2.7861,2.7952,0.0787,1.2284,2.5803,1.7357,3.7306,1.6,3.02,-0.02,0.11
200410,1.7911,2.541,2.595,1.2406,0.2237,3.4237,3.1291,1.1826,0.7933,2.8207,1.7038,3.9429,2.4072,0.0167,2.3191,3.4425,3.1461,2.2002,1.0372,-0.3894,1.3944,0.6088,2.7207,1.0023,2.6451,1.43,0.15,-0.25,0.11
200411,10.9005,8.5675,8.6127,8.0088,8.9514,7.3493,9.5072,9.4224,9.3561,9.3685,6.8997,5.9205,7.8605,6.2942,9.485,5.6315,7.3803,7.0797,6.6362,7.6319,3.241,4.2312,5.2821,3.6715,6.0541,4.54,3.73,1.45,0.15
200412,5.0982,4.6731,4.3611,2.9109,5.963,3.6165,3.4949,2.3109,2.4869,3.2134,5.6778,3.3344,2.2541,1.9261,2.628,4.1582,4.0461,4.1987,4.4588,3.7943,3.7779,2.3569,2.547,5.3797,2.7714,3.43,-0.03,-0.21,0.16
200501,-6.1296,-4.4685,-4.2289,-3.2209,-1.3954,-5.5879,-4.1751,-2.2619,-3.1971,-2.8364,-3.589,-3.9222,-3.7856,-0.2762,-2.8709,-2.7182,-3.6962,-2.6539,-2.2192,-2.4265,-3.146,-1.9094,-1.2069,-1.9397,0.3739,-2.76,-1.72,2.07,0.16
200502,-1.1691,-0.0281,-0.296,0.7878,2.9979,2.3561,1.9433,3.4859,3.7739,2.3154,1.0314,2.4098,2.9065,1.6684,4.0602,2.3669,2.551,3.2995,3.2258,3.2408,0.9489,4.4907,2.5624,0.5174,5.0656,1.89,-0.57,1.54,0.16
200503,-6.2173,-2.4139,-3.3198,-2.8311,-2.5616,-4.3575,-2.3274,-2.7012,-0.4434,-0.2989,-1.7045,-2.3897,-2.5504,-2.392,-0.9627,-1.8594,-0.7568,0.2848,-1.4861,-0.7946,-1.1191,-3.8655,-0.8902,-0.0407,-0.5454,-1.97,-1.4,2.05,0.21
